month,tipo_redespacho,up_mwh,dn_mwh,code_str,channel,up_gwh,dn_gwh
2024-04-01,33,0.0,73619.73600000006,33,RT general (33),0.0,73.61973600000006
2024-01-01,81,129861.22499999995,230296.07499999995,81,Catch-all 'other' bucket (81),129.86122499999993,230.29607499999995
2024-06-01,34,0.0,1244.2530000000008,34,RT inter-zonal / network (34),0.0,1.244253000000001
2025-08-01,92,43910.30000000001,145996.00000000003,92,mFRR activation (92),43.910300000000014,145.99600000000004
2025-08-01,19,1132.875,0.0,19,Uncategorised (project doc silent),1.132875,0.0
2025-08-01,38,0.0,13.3,38,Uncategorised (project doc silent),0.0,0.013300000000000001
2025-02-01,68,69.3,499.225,68,Reserve management (68),0.0693,0.49922500000000003
2024-07-01,94,142714.09999999998,72508.8,94,System balancing / residual imbalance (94),142.71409999999997,72.50880000000001
2024-03-01,69,5254.115000000001,22277.134000000024,69,Voltage control / black-start (69),5.2541150000000005,22.277134000000025
2025-07-01,69,11447.041,29611.059000000027,69,Voltage control / black-start (69),11.447040999999999,29.611059000000026
2024-09-01,92,12671.266999999994,47484.10800000001,92,mFRR activation (92),12.671266999999995,47.484108000000006
2024-09-01,19,372.0,0.0,19,Uncategorised (project doc silent),0.372,0.0
2025-06-01,94,63402.799999999996,59417.25,94,System balancing / residual imbalance (94),63.4028,59.41725
2024-05-01,94,147818.40000000002,74879.5,94,System balancing / residual imbalance (94),147.81840000000003,74.8795
2025-03-01,34,0.0,864.161,34,RT inter-zonal / network (34),0.0,0.864161
2024-11-01,68,0.0,445.25,68,Reserve management (68),0.0,0.44525
2025-05-01,61,96502.45000000001,223657.04999999996,61,"RT system-security RZ, PO 3.2 (61)",96.50245000000001,223.65704999999997
2025-05-01,66,2509.3280000000004,3861.619000000001,66,Uncategorised (project doc silent),2.5093280000000004,3.861619000000001
