"reform","outcome","tech","market","hour_class","eff","lo","hi","rel","p","n_pre","n_post"
"DA15","p","ccgt","da","flat",-1.02582216463024,-4.91520685869268,2.69288296839865,-0.00991974418053762,0.293617021276596,156,40
"DA15","p","ccgt","ida","critical",-1.2802134585978,-5.08047232802682,2.64227059421887,-0.0136881374515898,0.259803921568627,151,40
"DA15","p","ccgt","ida","midday",-1.16634164672001,-3.977074920624,1.42018483239435,-0.012747981542682,0.204882301656495,151,40
"DA15","p","ccgt","ida","flat",-3.20325159801817,-9.2668655352252,2.92606834341831,-0.0337859166130489,0.150602409638554,150,40
"DA15","p","hydro","da","critical",15.3709584442085,-3.124962778993,34.3834295771042,0.195246562569857,0.0603508771929825,156,40
"DA15","p","hydro","da","midday",0.878412303595525,-14.2883554101339,16.4009241848056,0.018095472208276,0.450456781447646,156,40
"DA15","p","hydro","da","flat",15.6411287616163,-5.65515539829793,37.7755104152198,0.201038671885386,0.0736022646850672,156,40
"DA15","p","hydro","ida","critical",11.7601042578401,-7.93354142796492,32.1905162573045,0.1070229243323,0.138,151,40
"DA15","p","hydro","ida","midday",8.14904420932382,-7.87525459463548,23.8008902089552,0.0811252275338857,0.162878787878788,151,40
"DA15","p","hydro","ida","flat",11.9687397913224,-7.52684271476612,31.0985428864862,0.108329442646109,0.115656963021243,150,40
"DA15","p","hydro_pump","da","critical",4.1155686088082,-24.5474105951296,31.661605145342,0.0738637968462938,0.38962962962963,156,40
"DA15","p","hydro_pump","da","midday",-5.12857955390314,-36.9904148768356,26.0523609174496,-0.024379319581309,0.36924219910847,156,40
"DA15","p","hydro_pump","da","flat",2.51713774172708,-31.1308955207499,33.8844789053661,0.060774538277079,0.43088116410671,156,40
"DA15","p","hydro_pump","ida","critical",13.0348999930317,-3.10541957867994,29.8303503142776,0.131226246700872,0.0633903133903134,151,40
"DA15","p","hydro_pump","ida","midday",11.3222536204622,-9.71984563476282,33.043794219804,0.0919271063293812,0.147563486616335,105,16
"DA15","p","hydro_pump","ida","flat",1.9551535587124,-23.3647983264307,24.8461409213253,0.0334093161639514,0.41728064300067,150,36
"DA15","q","ccgt","da","critical",563717.962087067,536030.166639396,590405.203014494,3.2035924273393,0.000713775874375446,156,40
"DA15","q","ccgt","da","midday",123790.751799044,116029.916961508,131558.855748883,2.6735792036616,0.000713775874375446,156,40
"DA15","q","ccgt","da","flat",94275.508060718,85841.6550743122,102001.940903033,3.44678372931942,0.000814332247557003,156,40
"DA15","q","ccgt","ida","critical",-36480.1623398872,-73683.8188845266,970.275225179757,-0.155869473235921,0.0358342665173572,151,40
"DA15","q","ccgt","ida","midday",560.684384831518,-10359.3943305324,12513.0391199198,0.00924129796474316,0.46571622539036,151,40
"DA15","q","ccgt","ida","flat",-7850.85436615894,-15746.6274447784,285.43023779815,-0.126937430946339,0.0312287847929396,150,40
"DA15","q","hydro","da","critical",297942.132920668,291342.855676792,304852.498226504,3.7377537605348,0.000688231245698555,156,40
"DA15","q","hydro","da","midday",99813.8977468623,98081.6777436647,101504.874393483,3.42394127054382,0.000707714083510262,156,40
