"reform","side","outcome","tech","market","hour_class","eff","lo","hi","p","n_pre","n_post"
"ID15","placebo","p","ccgt","ida","evening_ramp",-29.2335647665982,-54.9160458640469,-6.07968739294056,0.00446827524575514,271,27
"ID15","placebo","p","ccgt","ida","flat",-41.2521709828294,-56.9138663833614,-24.3200541043624,0.00087719298245614,271,27
"ID15","placebo","p","hydro","da","morning_ramp",-1.78007665936489,-28.6906133211329,25.4476457868702,0.442844284428443,279,40
"ID15","placebo","p","hydro","da","midday",-2.95585154078989,-23.8152271711979,19.7764468527013,0.381288614298323,279,40
"ID15","placebo","p","hydro","da","evening_ramp",-9.12005641427064,-40.9504697076444,22.6521901326709,0.270815074496056,279,40
"ID15","placebo","p","hydro","da","flat",-1.38495399479755,-25.8264384362915,23.9468277206413,0.442982456140351,279,40
"ID15","placebo","p","hydro","ida","morning_ramp",-6.92655870861389,-31.937061955107,19.2328176043366,0.27645305514158,271,27
"ID15","placebo","p","hydro","ida","midday",-2.19508156593585,-23.3839864172917,22.3918936518788,0.426141450313339,271,27
"ID15","placebo","p","hydro","ida","evening_ramp",-5.39691036245305,-32.9063073310645,22.0349057110395,0.33879374534624,271,27
"ID15","placebo","p","hydro","ida","flat",-4.94758651942046,-28.8078966024965,20.6236715606502,0.324143070044709,271,27
"ID15","placebo","p","hydro_pump","da","morning_ramp",-12.3333197663262,-44.7010173827136,23.4283022110679,0.234247590808006,277,40
"ID15","placebo","p","hydro_pump","da","midday",-8.8826731139289,-30.6003869947404,14.547801088734,0.23,256,40
"ID15","placebo","p","hydro_pump","da","evening_ramp",-16.8636984499008,-54.0470453821047,20.9941470525608,0.168761220825853,279,40
"ID15","placebo","p","hydro_pump","da","flat",-9.05933180745102,-39.2014892665757,23.8609546123407,0.289415247964471,271,40
"ID15","placebo","p","hydro_pump","ida","morning_ramp",-14.656653389575,-35.2357076249138,5.69261382357174,0.0811051693404635,265,27
"ID15","placebo","p","hydro_pump","ida","midday",-14.7923572108184,-34.6401581404164,6.4621222369234,0.0822368421052632,222,27
"ID15","placebo","p","hydro_pump","ida","evening_ramp",-15.6363780627775,-42.7831027586526,11.2804738798496,0.117734724292101,271,27
"ID15","placebo","p","hydro_pump","ida","flat",-8.17562268387211,-33.9169094154177,17.6804309611077,0.266717909300538,250,27
"ID15","placebo","mwh","ccgt","da","morning_ramp",-2678.16913924275,-4183.79818910318,-1100.38746991079,0.000680272108843537,279,40
"ID15","placebo","mwh","ccgt","da","midday",-2377.46654878801,-4452.88105400889,-482.671737244783,0.00714285714285714,279,40
"ID15","placebo","mwh","ccgt","da","evening_ramp",-2499.09002305641,-6964.04131266245,2068.75676863359,0.143908421913328,279,40
"ID15","placebo","mwh","ccgt","da","flat",-1092.49936211945,-2943.026951779,894.102309548168,0.135289323553382,266,37
"ID15","placebo","mwh","ccgt","ida","morning_ramp",-10771.9810895473,-13522.1195107207,-8032.47436819547,0.000669344042838019,271,27
"ID15","placebo","mwh","ccgt","ida","midday",-9728.38019807044,-13397.5106667814,-6048.1958734086,0.000675219446320054,271,26
"ID15","placebo","mwh","ccgt","ida","evening_ramp",-17370.2502122299,-23309.6414039937,-11597.9258619144,0.000745712155108128,271,27
"ID15","placebo","mwh","ccgt","ida","flat",-7844.99261756501,-9844.77403302392,-5796.9248544164,0.000674308833445718,271,27
"ID15","placebo","mwh","hydro","da","morning_ramp",11019.5106640319,8250.83761654044,13605.5396275155,0.00089126559714795,279,40
"ID15","placebo","mwh","hydro","da","midday",5905.28127024957,1852.02193422848,9448.36894366298,0.00163132137030995,279,40
"ID15","placebo","mwh","hydro","da","evening_ramp",22092.7459817097,17667.7436721785,26626.4829028747,0.00107758620689655,279,40
"ID15","placebo","mwh","hydro","da","flat",5952.1156527251,3514.8859952777,8198.64151328675,0.000817661488143908,279,40
