tech_group,regime,hour_class,mw_in_band,n_tranches,frac_single_block,mw_at_mcp,n_months,n_cells_total,market
Retailer,3-sess,Midday,20.54501424194569,1.4692593909110885,0.40483889437597226,0.6334949640039309,6,29374,IDA
Retailer,DA15/ID15,Critical,11.582314309054516,1.470371885016747,0.2312060537834916,0.13934350632308395,3,196435,IDA
Retailer,DA15/ID15,Dropped,11.945653467205561,1.5206672370877194,0.23566235699767893,0.17168947073737087,3,107631,IDA
Retailer,DA15/ID15,Flat,10.991342429218795,1.3836525890115274,0.23156383010855378,0.11403281646101361,3,47732,IDA
Retailer,DA15/ID15,Midday,13.220026463060778,1.6624278986838308,0.27277085345983093,0.2352494836346485,3,98759,IDA
Retailer,DA60/ID15 post-blk,Critical,9.567037975226848,1.1026131062521,0.3014691859415132,0.2711237005056516,5,392674,IDA
Retailer,DA60/ID15 post-blk,Dropped,10.194589968868236,1.1329547360204926,0.3212588557825102,0.30387500091682507,5,200139,IDA
Retailer,DA60/ID15 post-blk,Flat,6.950339530446387,0.8327557468346077,0.2950568774729504,0.2977786821561191,5,72943,IDA
Retailer,DA60/ID15 post-blk,Midday,12.55248579736118,1.4943506473542914,0.36493640506496694,0.33948985430173984,5,188615,IDA
Retailer,DA60/ID15 pre-blk,Critical,12.009859493898471,1.2131239353410201,0.391972266817022,0.5494887070926823,2,81917,IDA
Retailer,DA60/ID15 pre-blk,Dropped,12.493071852886908,1.18352825832392,0.4439530262306796,0.6394904995162339,2,40569,IDA
Retailer,DA60/ID15 pre-blk,Flat,10.04017997574094,0.979504078449434,0.46641863752098894,0.5281812278514884,2,15605,IDA
Retailer,DA60/ID15 pre-blk,Midday,14.180276532070094,1.295653731279248,0.48564106611543884,0.6508384588419404,2,34849,IDA
Retailer,ISP15-win,Critical,13.506863267666596,1.0766336095519846,0.2826370799916647,0.3719425161738681,4,51744,IDA
Retailer,ISP15-win,Dropped,13.410199917688344,1.1243514216694588,0.29514214399205485,0.38129109914082143,4,26958,IDA
