tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_months,share_pct
Retailer,DA15/ID15,Critical,0.4742960546050185,11.582314309054516,21.686088321017394,3,47.4
Retailer,DA15/ID15,Dropped,0.4684437104959105,11.945653467205561,22.80153772473521,3,46.8
Retailer,DA15/ID15,Flat,0.44590617482286926,10.991342429218795,20.721700661282146,3,44.6
Retailer,DA15/ID15,Midday,0.4938522390114137,13.220026463060778,24.660046134469454,3,49.4
Retailer,DA60/ID15 post-blk,Critical,0.46449275479207464,9.567037975226848,20.010781271834293,5,46.4
Retailer,DA60/ID15 post-blk,Dropped,0.48340011425261914,10.194589968868236,21.226100066011174,5,48.3
Retailer,DA60/ID15 post-blk,Flat,0.40845248671333245,6.950339530446387,17.093714670807977,5,40.8
Retailer,DA60/ID15 post-blk,Midday,0.5804403514709979,12.55248579736118,23.66404209986644,5,58.0
Retailer,DA60/ID15 pre-blk,Critical,0.59767436820412,12.009859493898471,20.749190462891114,2,59.8
Retailer,DA60/ID15 pre-blk,Dropped,0.6246832053441294,12.493071852886908,20.967213223249555,2,62.5
Retailer,DA60/ID15 pre-blk,Flat,0.592501114041442,10.04017997574094,18.02244690184218,2,59.3
Retailer,DA60/ID15 pre-blk,Midday,0.7001201138287507,14.180276532070094,22.343600493167735,2,70.0
Retailer,ISP15-win,Critical,0.5114201064221334,13.506863267666596,22.93663594982923,4,51.1
Retailer,ISP15-win,Dropped,0.5109028092456996,13.410199917688344,23.512633970387505,4,51.1
Retailer,ISP15-win,Flat,0.4969088815068783,12.626164308345762,20.62781960904487,4,49.7
Retailer,ISP15-win,Midday,0.5467216997983049,14.917702154649854,26.41090630880661,4,54.7
Solar PV,3-sess,Critical,0.4636215696754034,3.8614973378661888,4.426139338821801,6,46.4
Solar PV,3-sess,Dropped,0.5291789129178093,5.0547227537523725,5.8081378550157625,6,52.9
Solar PV,3-sess,Flat,0.8920107777361003,29.147066536884385,31.98551520594746,6,89.2
Solar PV,3-sess,Midday,0.5697610669228114,4.821945269667664,5.55892660362829,6,57.0
Solar PV,DA15/ID15,Critical,0.3008419557811752,1.1979442419684954,1.8405904354734595,3,30.1
Solar PV,DA15/ID15,Dropped,0.3403245967786798,1.193852390560245,2.001399167069979,3,34.0
Solar PV,DA15/ID15,Flat,0.8372866436943038,9.18492656428896,11.572716167125895,3,83.7
Solar PV,DA15/ID15,Midday,0.38091850867262483,1.498815186967706,2.3023955687864714,3,38.1
Solar PV,DA60/ID15 post-blk,Critical,0.4284562588336738,2.185099935848111,3.10684236947109,5,42.8
Solar PV,DA60/ID15 post-blk,Dropped,0.5024642567017747,3.4414862254437715,4.4898356929547285,5,50.2
Solar PV,DA60/ID15 post-blk,Flat,0.8072077360199768,11.29913331596704,14.080621034942752,5,80.7
Solar PV,DA60/ID15 post-blk,Midday,0.5245812659717322,4.512508058483482,5.417981362857157,5,52.5
Solar PV,DA60/ID15 pre-blk,Critical,0.7019140266035027,3.113064817007633,3.5812739128243054,2,70.2
Solar PV,DA60/ID15 pre-blk,Dropped,0.7907555374213333,4.719129954689922,5.162115357496887,2,79.1
Solar PV,DA60/ID15 pre-blk,Flat,0.6481757389804541,6.2963911278766025,10.94194837878486,2,64.8
Solar PV,DA60/ID15 pre-blk,Midday,0.8413243764773655,6.007217524558207,6.277719355934896,2,84.1
Solar PV,ISP15-win,Critical,0.3309598330843961,2.517478833451744,3.1524264019578236,4,33.1
Solar PV,ISP15-win,Dropped,0.35387156719775903,1.8010953273692933,2.6564243908016762,4,35.4
Solar PV,ISP15-win,Flat,0.8672141939964002,23.225595062712436,26.12694063400871,4,86.7
Solar PV,ISP15-win,Midday,0.3518420508385503,1.4355035945368342,2.3365591507023997,4,35.2
