firm,tech,hour_class,regime,gwh,gwh_sa
HC,Hydro,Flat,MTU15IDA_post,0.07037301587301588,0.08997606076073769
HC,Hydro,Flat,MTU15IDA_pre,0.17287916666666683,0.16528254991831529
HC,Hydro,Flat,preIDA,0.1747864406779661,
HC,Hydro,Midday,3sess,0.18735142857142856,0.22417452129569598
HC,Hydro,Midday,DA15_ID15,0.11433787878787884,0.07010696016172129
HC,Hydro,Midday,ISP15win,0.24225689655172414,0.1920638053932095
HC,Hydro,Midday,MTU15IDA_post,0.0829129310344828,0.10201285614865577
HC,Hydro,Midday,MTU15IDA_pre,0.12046111111111107,0.06623456359156353
HC,Hydro,Midday,preIDA,0.18583061224489797,
HC,Hydro_pump,Critical,3sess,0.08263243243243243,0.125834680768721
HC,Hydro_pump,Critical,DA15_ID15,0.1278477272727273,0.0721111823402481
HC,Hydro_pump,Critical,ISP15win,0.07844090909090908,0.18259535855120085
HC,Hydro_pump,Critical,MTU15IDA_post,0.09928186274509805,0.07186403872193026
HC,Hydro_pump,Critical,MTU15IDA_pre,0.03321923076923076,0.04569557809681205
HC,Hydro_pump,Critical,preIDA,0.071450826446281,
HC,Hydro_pump,Flat,3sess,0.05176666666666666,
HC,Hydro_pump,Flat,DA15_ID15,0.15474285714285715,
HC,Hydro_pump,Flat,ISP15win,0.18492,
HC,Hydro_pump,Flat,MTU15IDA_post,0.1415708333333334,
HC,Hydro_pump,Flat,MTU15IDA_pre,0.0692,
HC,Hydro_pump,Flat,preIDA,0.06920229885057472,
HC,Hydro_pump,Midday,3sess,0.10677058823529412,0.10731770528247028
HC,Hydro_pump,Midday,DA15_ID15,0.04029761904761905,0.024736595976929905
HC,Hydro_pump,Midday,ISP15win,0.08046451612903224,0.06387374170034295
HC,Hydro_pump,Midday,MTU15IDA_post,0.05845000000000001,0.08249528147992725
HC,Hydro_pump,Midday,MTU15IDA_pre,0.04790555555555555,0.04024418640404004
HC,Hydro_pump,Midday,preIDA,0.07311136363636364,
HC,Other,Critical,3sess,0.3462803680981595,
HC,Other,Critical,DA15_ID15,0.33332523584905643,
HC,Other,Critical,ISP15win,0.5466336448598131,
HC,Other,Critical,MTU15IDA_post,0.22846769480519485,
HC,Other,Critical,MTU15IDA_pre,0.3296137499999999,
HC,Other,Critical,preIDA,0.42413983644859815,
HC,Other,Flat,3sess,0.12504545454545454,
HC,Other,Flat,DA15_ID15,0.15209705882352936,
HC,Other,Flat,ISP15win,0.17295,
HC,Other,Flat,MTU15IDA_post,0.07663205882352941,
HC,Other,Flat,MTU15IDA_pre,0.09304166666666666,
HC,Other,Flat,preIDA,0.14481035856573704,
HC,Other,Midday,3sess,0.17932521008403363,
HC,Other,Midday,DA15_ID15,0.20173576923076927,
HC,Other,Midday,ISP15win,0.15320224719101122,
HC,Other,Midday,MTU15IDA_post,0.04995303030303032,
HC,Other,Midday,MTU15IDA_pre,0.15298671875000003,
HC,Other,Midday,preIDA,0.2169411382113821,
HC,Solar_PV,Critical,ISP15win,0.03025,
HC,Solar_PV,Critical,MTU15IDA_post,0.019443749999999996,
HC,Solar_PV,Critical,MTU15IDA_pre,0.036125000000000004,
HC,Solar_PV,Critical,preIDA,0.005,
HC,Solar_PV,Flat,MTU15IDA_pre,0.00625,
HC,Solar_PV,Midday,DA15_ID15,0.00875,
HC,Solar_PV,Midday,ISP15win,0.0655,
HC,Solar_PV,Midday,MTU15IDA_pre,0.1,
HC,Solar_PV,Midday,preIDA,0.005,
HC,Wind,Critical,3sess,0.093403738317757,
HC,Wind,Critical,DA15_ID15,0.07987848837209302,
HC,Wind,Critical,ISP15win,0.11283225806451613,
HC,Wind,Critical,MTU15IDA_post,0.0780975225225225,
HC,Wind,Critical,MTU15IDA_pre,0.07279500000000003,
HC,Wind,Critical,preIDA,0.08076778523489933,
HC,Wind,Flat,3sess,0.04543829787234043,
HC,Wind,Flat,DA15_ID15,0.03493489583333335,
HC,Wind,Flat,ISP15win,0.065275,
HC,Wind,Flat,MTU15IDA_post,0.046942777777777785,
HC,Wind,Flat,MTU15IDA_pre,0.01615,
HC,Wind,Flat,preIDA,0.0562714953271028,
HC,Wind,Midday,3sess,0.08893661971830985,
HC,Wind,Midday,DA15_ID15,0.07511428571428572,
HC,Wind,Midday,ISP15win,0.051430952380952376,
HC,Wind,Midday,MTU15IDA_post,0.07181013513513514,
HC,Wind,Midday,MTU15IDA_pre,0.059730555555555544,
HC,Wind,Midday,preIDA,0.06304398496240601,
IB,CCGT,Critical,3sess,0.30710624999999997,0.3841397987892078
IB,CCGT,Critical,DA15_ID15,0.22436707920792082,0.2482337911485059
IB,CCGT,Critical,ISP15win,0.43893917525773196,0.436987189230507
IB,CCGT,Critical,MTU15IDA_post,0.3043850746268657,0.34447407041982686
IB,CCGT,Critical,MTU15IDA_pre,0.1858655172413794,0.1593294022076691
IB,CCGT,Critical,preIDA,0.2928828193832599,
IB,CCGT,Flat,3sess,0.21823548387096775,0.30081440801806425
IB,CCGT,Flat,DA15_ID15,0.052841129032258065,0.06473122713762092
IB,CCGT,Flat,ISP15win,0.15353333333333335,0.12119922794016547
IB,CCGT,Flat,MTU15IDA_post,0.10354360465116279,0.10353374805176507
IB,CCGT,Flat,MTU15IDA_pre,0.09158214285714299,0.07786724990535765
IB,CCGT,Flat,preIDA,0.19997419354838708,
IB,CCGT,Midday,3sess,0.24520689655172417,0.2349027913212235
IB,CCGT,Midday,DA15_ID15,0.05086102941176473,0.05483374098783742
IB,CCGT,Midday,ISP15win,0.13750208333333333,0.10025533715670434
IB,CCGT,Midday,MTU15IDA_post,0.022825,0.04682609567237016
IB,CCGT,Midday,MTU15IDA_pre,0.023912500000000003,0.02851375799355998
IB,CCGT,Midday,preIDA,0.26996769911504426,
IB,Hydro,Critical,3sess,0.6959539877300613,0.9198860606987489
IB,Hydro,Critical,DA15_ID15,0.47858750000000005,0.4111866010549418
IB,Hydro,Critical,ISP15win,0.8011843137254901,0.8407959916413603
IB,Hydro,Critical,MTU15IDA_post,0.36626746575342456,0.3925786362364095
IB,Hydro,Critical,MTU15IDA_pre,0.3428432432432433,0.24417625094273895
IB,Hydro,Critical,preIDA,0.5044384388807069,
IB,Hydro,Flat,3sess,0.2283186666666667,0.245805128893372
IB,Hydro,Flat,DA15_ID15,0.1575856481481481,0.11854962868902465
IB,Hydro,Flat,ISP15win,0.223904,0.20140633565279395
IB,Hydro,Flat,MTU15IDA_post,0.13044227941176473,0.1602596758857363
IB,Hydro,Flat,MTU15IDA_pre,0.08244615384615385,0.0757810021872977
IB,Hydro,Flat,preIDA,0.21081270718232045,
IB,Hydro,Midday,3sess,0.1959688888888889,0.2501513963033873
IB,Hydro,Midday,DA15_ID15,0.21321796875,0.11703173093301869
IB,Hydro,Midday,ISP15win,0.2883313432835821,0.21960052015629083
IB,Hydro,Midday,MTU15IDA_post,0.12911925675675676,0.14714330992339278
IB,Hydro,Midday,MTU15IDA_pre,0.2675979999999991,0.12488947371964478
IB,Hydro,Midday,preIDA,0.241042,
IB,Hydro_pump,Critical,3sess,0.56855,0.6927699415280344
IB,Hydro_pump,Critical,DA15_ID15,0.28512897727272707,0.23746335217746037
IB,Hydro_pump,Critical,ISP15win,0.64561875,0.5625538600728003
IB,Hydro_pump,Critical,MTU15IDA_post,0.2627157196969697,0.3239325556140735
IB,Hydro_pump,Critical,MTU15IDA_pre,0.39259453124999993,0.3302941889851878
IB,Hydro_pump,Critical,preIDA,0.5945681747269891,
IB,Hydro_pump,Flat,3sess,0.3041714285714286,0.29127756524768306
IB,Hydro_pump,Flat,DA15_ID15,0.1556537878787879,0.11602144416324027
IB,Hydro_pump,Flat,ISP15win,0.2251780487804878,0.3024785140562886
IB,Hydro_pump,Flat,MTU15IDA_post,0.14410755813953474,0.13831994279669474
IB,Hydro_pump,Flat,MTU15IDA_pre,0.19253676470588238,0.1639007945936398
IB,Hydro_pump,Flat,preIDA,0.25880710659898476,
IB,Hydro_pump,Midday,3sess,0.36839444444444447,0.4756830424145192
IB,Hydro_pump,Midday,DA15_ID15,0.17212542372881354,0.11032849788636231
IB,Hydro_pump,Midday,ISP15win,0.365455737704918,0.38726347122585036
IB,Hydro_pump,Midday,MTU15IDA_post,0.2027471518987342,0.21181499385750463
IB,Hydro_pump,Midday,MTU15IDA_pre,0.21175869565217403,0.2373649678927587
IB,Hydro_pump,Midday,preIDA,0.3419877094972067,
IB,Nuclear,Critical,3sess,0.7008636363636364,
IB,Nuclear,Critical,DA15_ID15,0.645876923076923,
IB,Nuclear,Critical,ISP15win,0.48061999999999994,
IB,Nuclear,Critical,MTU15IDA_post,0.3011578947368422,
IB,Nuclear,Critical,MTU15IDA_pre,0.3140916666666669,
IB,Nuclear,Critical,preIDA,0.22586521739130436,
IB,Nuclear,Flat,3sess,0.3300666666666667,
IB,Nuclear,Flat,DA15_ID15,0.5004700000000001,
IB,Nuclear,Flat,ISP15win,0.46640000000000015,
IB,Nuclear,Flat,MTU15IDA_post,0.07933749999999999,
IB,Nuclear,Flat,MTU15IDA_pre,0.7713625000000003,
IB,Nuclear,Flat,preIDA,0.11638399999999999,
IB,Nuclear,Midday,3sess,0.2573375,
IB,Nuclear,Midday,DA15_ID15,0.33958750000000004,
IB,Nuclear,Midday,ISP15win,0.8375250000000003,
IB,Nuclear,Midday,MTU15IDA_post,0.07712499999999999,
IB,Nuclear,Midday,preIDA,0.26588709677419353,
IB,Other,Critical,3sess,0.129552,
IB,Other,Critical,DA15_ID15,0.03373226495726496,
IB,Other,Critical,ISP15win,0.14386000000000002,
IB,Other,Critical,MTU15IDA_post,0.02537926136363636,
IB,Other,Critical,MTU15IDA_pre,2.685350000000011,
IB,Other,Critical,preIDA,0.12387455357142858,
IB,Other,Flat,3sess,0.0603125,
IB,Other,Flat,DA15_ID15,0.005252659574468085,
IB,Other,Flat,ISP15win,0.11015,
IB,Other,Flat,MTU15IDA_post,0.0036961538461538464,
IB,Other,Flat,MTU15IDA_pre,0.021775,
IB,Other,Flat,preIDA,0.03574404761904762,
IB,Other,Midday,3sess,0.2503625000000001,
IB,Other,Midday,DA15_ID15,0.038200446428571434,
IB,Other,Midday,ISP15win,0.07196666666666666,
IB,Other,Midday,MTU15IDA_post,0.027500949367088603,
