tech,q1_gwh,qfinal_gwh,ym
Cogen,29.004924999999968,109.23067499999935,2025-11-01
Direct_consumer,0.0,-12.235050000000017,2025-11-01
Generic,0.0,-5.728100000000086,2025-11-01
Hybrid_RES,49.6483,61.26892500000003,2025-11-01
Hybrid_RES_storage,3.8862000000000028,21.961349999999975,2025-11-01
Hydro,611.1839750000026,2679.2313750000085,2025-11-01
Hydro_RES,2.8274499999999754,63.16972499999932,2025-11-01
Hydro_pump,340.8856500000003,334.79965000000016,2025-11-01
Nuclear,1909.4453500000068,3683.041675000022,2025-11-01
Other,0.0,10.931599999999987,2025-11-01
Pump_load,0.0,-1069.4132499999996,2025-11-01
Retailer,0.0,-13363.530149999942,2025-11-01
Solar PV,100.18107500000028,352.145475,2025-11-01
Storage_buy,0.0,-0.0147,2025-11-01
Storage_sell,0.0,0.003375,2025-11-01
Wind,1081.3276250000033,2196.9759500000005,2025-11-01
CCGT,243.6599000000004,2659.625375000003,2025-12-01
Coal,0.0,44.73895,2025-12-01
Cogen,35.001375000000365,134.39804999999828,2025-12-01
Direct_consumer,0.0,-14.756274999999986,2025-12-01
Generic,0.0,1.224799999999974,2025-12-01
Hybrid_RES,35.54422499999992,46.77952499999994,2025-12-01
Hybrid_RES_storage,1.5962999999999996,19.137875,2025-12-01
Hydro,639.5543249999964,4083.1014750000118,2025-12-01
Hydro_RES,1.9116250000000203,86.46922499999903,2025-12-01
Hydro_pump,247.29617499999927,251.03212499999918,2025-12-01
Nuclear,2586.9191000000337,4800.28382500002,2025-12-01
Other,0.0,6.640875000000001,2025-12-01
Pump_load,0.0,-790.9236500000002,2025-12-01
Retailer,0.0,-14634.383025000006,2025-12-01
Solar PV,34.424999999999656,317.0878249999999,2025-12-01
Storage_buy,0.0,-0.0046250000000000015,2025-12-01
Storage_sell,0.0012000000000000001,0.0059250000000000014,2025-12-01
Wind,695.9128749999949,1803.3748,2025-12-01
CCGT,18.103250000000006,1675.6797499999968,2026-01-01
Coal,0.0,2.52875,2026-01-01
Cogen,13.090275,95.7524499999996,2026-01-01
Direct_consumer,0.0,-8.86145,2026-01-01
Generic,0.0,-1.2514000000000096,2026-01-01
Hybrid_RES,10.287600000000005,34.73187499999999,2026-01-01
Hybrid_RES_storage,0.151125,12.433600000000007,2026-01-01
Hydro,131.15659999999994,2777.1790749999927,2026-01-01
Hydro_RES,0.28849999999999887,44.36474999999996,2026-01-01
Hydro_pump,63.105450000000054,142.12987499999966,2026-01-01
Nuclear,739.4420249999998,3353.3198000000207,2026-01-01
Other,0.0,5.596500000000002,2026-01-01
Pump_load,0.0,-470.12152500000025,2026-01-01
Retailer,0.0,-9865.437774999991,2026-01-01
Solar PV,7.398149999999996,208.23660000000092,2026-01-01
Storage_buy,0.0,-0.00015,2026-01-01
Wind,218.2335500000003,1416.9514250000009,2026-01-01
CCGT,0.0,1029.1341249999994,2026-02-01
Cogen,0.0,20.915200000000002,2026-02-01
Direct_consumer,0.0,-4.1211999999999955,2026-02-01
Generic,0.0,8.984549999999972,2026-02-01
Hybrid_RES,0.0,26.528549999999996,2026-02-01
Hybrid_RES_storage,0.0,4.875324999999999,2026-02-01
Hydro,0.0,2522.5375750000157,2026-02-01
Hydro_RES,0.0,29.63370000000004,2026-02-01
Hydro_pump,0.0,182.8891999999998,2026-02-01
Nuclear,0.0,1968.4794249999975,2026-02-01
Other,0.0,3.0137500000000004,2026-02-01
Pump_load,0.0,-574.3628500000001,2026-02-01
Retailer,0.0,-6264.737174999995,2026-02-01
Solar PV,0.0,74.76122499999992,2026-02-01
Storage_buy,0.0,-0.007250000000000002,2026-02-01
Storage_sell,0.0,0.0034000000000000007,2026-02-01
Wind,0.0,914.9186249999996,2026-02-01
