unit,year,nameplate_MW,actual_TWh,cap_TWh,cf_%,planned_outage_TWh,forced_outage_TWh,unaccounted_TWh,unaccounted_pct_of_cap
AMBIETA,2019,288.0,1.0,2.52,39.6,0.02,0.0,1.5,59.5
AMBIETA,2020,288.0,0.82,2.53,32.4,0.19,0.27,1.24,49.2
AMBIETA,2021,288.0,0.77,2.52,30.6,0.14,0.12,1.49,59.2
AMBIETA,2022,288.0,1.17,2.52,46.4,1.94,0.0,-0.59,-23.4
AMBIETA,2023,288.0,0.57,2.52,22.5,0.98,1.1,-0.13,-5.0
AMBIETA,2024,288.0,0.58,2.53,22.8,0.15,0.0,1.8,71.2
AMBIETA,2025,288.0,0.66,2.52,26.3,0.79,0.0,1.06,42.2
AMBIETA,2026,288.0,0.0,0.81,0.0,0.0,0.03,0.78,96.0
ARCOS1,2018,412.0,0.27,3.61,7.5,0.62,0.35,2.38,65.7
ARCOS1,2019,412.0,0.76,3.61,21.0,0.93,0.57,1.35,37.4
ARCOS1,2020,412.0,0.04,3.62,1.1,0.68,0.0,2.9,80.1
ARCOS1,2021,412.0,0.08,3.61,2.2,0.57,0.48,2.48,68.7
