regime,hour_class,tech,share_pct_q_at,share_pct_q_marg,share_pct_cells,n_obs
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Hydro,2.7431300955132976,2.1749940101880973,1.3827781269641735,66
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Hydro_RES,1.3064377693923939,1.1506458763004512,9.658495705007333,461
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Hydro_pump,2.2431163385920563,2.1058854266371454,0.6913890634820867,33
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Import,0.28855981140267584,0.10811760980619495,0.04190236748376283,2
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Nuclear,15.568808429167627,18.404193711118893,0.5447307772889168,26
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Solar PV,20.616055065264852,18.482934153004475,35.95223130106851,1716
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Solar Thermal,0.8100477868469069,1.1793006548459681,0.5447307772889168,26
DA60/ID15 pre-blk (Mar19-Apr27),Critical,Wind,47.59176705304602,48.94946525126508,28.11648858160486,1342
DA60/ID15 pre-blk (Mar19-Apr27),Critical,_unmapped_,3.482916923630297,3.1628614806333424,8.338571129268804,398
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Cogen,0.07135614226161416,0.04877035484948927,1.8518518518518516,2
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Hybrid_RES,0.7533706388252525,0.674656575417935,8.333333333333332,9
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Hydro,1.7144252074961503,0.8995421005572463,3.7037037037037033,4
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Hydro_pump,10.753746197468734,14.129855585560364,18.51851851851852,20
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Nuclear,13.478799714575432,17.90684862223748,3.7037037037037033,4
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Solar PV,0.01502234573928719,0.015353630230394771,0.9259259259259258,1
DA60/ID15 pre-blk (Mar19-Apr27),Flat,Wind,70.90284297893116,64.84199308183486,44.44444444444444,48
