month,firm,bilateral_abs_mwh,auction_sell_mwh,bilateral_TWh,auction_TWh,total_TWh,bilat_share
2020-02-01,GN,576888.0,942933.1000000024,0.576888,0.9429331000000024,1.5198211000000024,0.37957625407358736
2020-02-01,HC,0.0,431202.8999999998,0.0,0.4312028999999998,0.4312028999999998,0.0
2020-02-01,IB,3957259.0999999996,1034382.5000000012,3.9572590999999995,1.034382500000001,4.9916416,0.792777089605151
2020-03-01,GE,1082494.6,754101.9999999977,1.0824946000000002,0.7541019999999977,1.8365965999999978,0.5894024850095015
2020-03-01,GN,304488.0,922645.6999999993,0.304488,0.9226456999999992,1.227133699999999,0.24812944180410024
2020-03-01,HC,0.0,231582.4999999996,0.0,0.23158249999999958,0.23158249999999958,0.0
2020-03-01,IB,1914985.799999999,2737048.2000000025,1.914985799999999,2.7370482000000025,4.652034000000001,0.41164484180468125
2020-04-01,GE,1148476.0999999992,475240.30000000144,1.1484760999999992,0.47524030000000145,1.6237164000000006,0.7073132352423113
2020-04-01,GN,318864.0,540883.6000000003,0.318864,0.5408836000000004,0.8597476000000004,0.37088094226724194
2020-04-01,HC,0.0,118160.6,0.0,0.1181606,0.1181606,0.0
2020-04-01,IB,2534810.3000000007,1508758.9000000032,2.5348103000000006,1.5087589000000032,4.043569200000004,0.6268744702081513
2020-05-01,GE,806199.6000000009,536244.8000000002,0.8061996000000009,0.5362448000000002,1.342444400000001,0.6005459890927328
2020-05-01,GN,489888.0,371277.6999999988,0.489888,0.37127769999999877,0.8611656999999988,0.5688661311057799
2020-05-01,HC,0.0,210666.69999999972,0.0,0.2106666999999997,0.2106666999999997,0.0
2020-05-01,IB,2923361.699999998,557187.4999999991,2.923361699999998,0.5571874999999991,3.480549199999997,0.8399139135858216
2020-06-01,GE,1055175.8,1002481.699999996,1.0551758,1.002481699999996,2.057657499999996,0.5128043904294092
2020-06-01,GN,500928.0,738109.9999999995,0.500928,0.7381099999999995,1.2390379999999994,0.40428784266503554
2020-06-01,HC,0.0,463095.10000000056,0.0,0.46309510000000054,0.46309510000000054,0.0
2020-06-01,IB,2211491.6999999974,1229587.5999999996,2.211491699999997,1.2295875999999997,3.4410792999999966,0.6426738552639573
2020-07-01,GE,1264971.0999999994,1012714.5000000016,1.2649710999999995,1.0127145000000017,2.277685600000001,0.5553756409576452
2020-07-01,GN,596856.0,1458104.7999999989,0.596856,1.458104799999999,2.054960799999999,0.2904464163014693
2020-07-01,HC,0.0,557549.1000000007,0.0,0.5575491000000007,0.5575491000000007,0.0
2020-07-01,IB,3527493.6000000006,1923373.9999999942,3.5274936000000006,1.9233739999999941,5.450867599999995,0.6471435116127209
2020-08-01,GE,1096324.9000000004,958221.3999999985,1.0963249000000004,0.9582213999999986,2.054546299999999,0.5336092450192049
2020-08-01,GN,614640.0,693101.3000000013,0.61464,0.6931013000000014,1.3077413000000013,0.4700012150721242
2020-08-01,HC,0.0,553239.0000000008,0.0,0.5532390000000008,0.5532390000000008,0.0
2020-08-01,IB,4006046.6999999983,1872860.1999999995,4.006046699999998,1.8728601999999994,5.878906899999997,0.6814271374156308
2020-09-01,GE,711767.1000000022,948985.4,0.7117671000000022,0.9489854,1.6607525000000023,0.42858107996224676
2020-09-01,GN,544344.0,896842.7999999993,0.544344,0.8968427999999994,1.4411867999999994,0.37770537448719366
2020-09-01,HC,0.0,517998.8999999997,0.0,0.5179988999999997,0.5179988999999997,0.0
2020-09-01,IB,3256782.099999992,2017652.800000003,3.256782099999992,2.017652800000003,5.274434899999996,0.6174655980681447
2020-10-01,GE,1121195.9999999981,533292.5000000008,1.121195999999998,0.5332925000000008,1.654488499999999,0.6776692615270513
2020-10-01,GN,628540.0,551036.5000000002,0.62854,0.5510365000000003,1.1795765000000002,0.5328522567209502
2020-10-01,HC,0.0,329920.79999999923,0.0,0.32992079999999924,0.32992079999999924,0.0
2020-10-01,IB,3085965.7000000007,938108.1999999997,3.0859657000000005,0.9381081999999997,4.0240739,0.7668760009601215
2020-11-01,GE,1146589.699999998,600649.8000000002,1.146589699999998,0.6006498000000001,1.7472394999999983,0.6562292690841749
2020-11-01,GN,609600.0,857593.4000000004,0.6096,0.8575934000000004,1.4671934000000004,0.4154871470932188
2020-11-01,HC,0.0,301249.2999999993,0.0,0.3012492999999993,0.3012492999999993,0.0
2020-11-01,IB,3469699.3000000063,1322445.2000000011,3.4696993000000065,1.322445200000001,4.792144500000008,0.7240389558369954
2020-12-01,GE,1206855.699999998,570033.0999999996,1.2068556999999982,0.5700330999999996,1.7768887999999978,0.6791959631913936
2020-12-01,GN,618096.0,884099.3000000012,0.618096,0.8840993000000013,1.5021953000000012,0.4114618119228568
2020-12-01,HC,0.0,270906.6999999996,0.0,0.2709066999999996,0.2709066999999996,0.0
2020-12-01,IB,3805638.7999999966,1546114.5000000035,3.8056387999999965,1.5461145000000034,5.3517533,0.7111013132836291
2021-01-01,GE,1245071.700000001,840723.6000000014,1.245071700000001,0.8407236000000013,2.0857953000000022,0.596928998737316
2021-01-01,GN,614136.0,815192.4999999986,0.614136,0.8151924999999987,1.4293284999999987,0.42966749770958923
2021-01-01,HC,0.0,512322.7999999991,0.0,0.5123227999999991,0.5123227999999991,0.0
2021-01-01,IB,4072241.9999999856,1910522.7000000011,4.072241999999986,1.9105227000000011,5.982764699999987,0.6806622363069025
2021-02-01,GE,1179451.5999999985,458207.39999999927,1.1794515999999984,0.45820739999999927,1.6376589999999975,0.7202058548208145
2021-02-01,GN,551904.0,864919.7000000003,0.551904,0.8649197000000003,1.4168237000000001,0.38953611518497316
2021-02-01,HC,0.0,174182.49999999983,0.0,0.17418249999999982,0.17418249999999982,0.0
2021-02-01,IB,4130444.2999999947,1128660.000000001,4.130444299999994,1.1286600000000009,5.259104299999995,0.7853893104953249
2021-03-01,GE,1302549.5000000005,403039.3999999996,1.3025495000000005,0.4030393999999996,1.7055889,0.7636948739523343
